"inst_325" "inst_449" "inst_484" "inst_489" "inst_493" "inst_544" "inst_836" "inst_953" "inst_999" "inst_1057" "inst_1160" "inst_1219" "inst_1644" "inst_2679" "inst_4443" "inst_5216" "inst_5579" "inst_5947" "inst_5952" "inst_6178" "inst_6938" "inst_6979"
"200065_s_at" 6469 2634 14128 15074 6983 6215 14819 17126 14712 6115 5544 14375 14622 9107 15787 14037 16104 13859 9843 12952 15221 14831
"200066_at" 4157 5961 14858 13527 6130 20238 17634 19994 20381 5528 16902 20468 18906 12881 18924 17313 19706 4869 8016 3056 19559 17862
"200067_x_at" 376 2736 1603 1057 1520 1805 517 778 989 251 451 1563 387 2833 1191 1042 732 2303 1859 2419 578 850
"200068_s_at" 15474 9328 15174 12985 7043 4684 14023 4145 13817 18384 16792 15459 14883 6534 7620 14219 3803 13295 9893 11983 14072 14889
"200069_at" 1173 2682 17812 12497 1626 982 1721 868 4402 993 16793 3594 265 3523 2113 3278 1033 5342 7739 16326 3158 4379
"200070_at" 666 3764 15244 2475 5416 1018 19451 17104 15622 4652 1073 3890 21571 9821 15818 1320 18920 2225 5575 16389 16013 15035
"200071_at" 2157 334 6846 4359 18271 7798 13411 15505 4381 4759 2331 20228 3162 2534 5115 16595 3545 14976 2614 16897 14070 3067
"200072_s_at" 17622 17151 14721 17908 6345 3440 14836 18294 16114 17407 17198 16412 16944 10475 18688 15865 9756 3773 8897 12787 17960 18086
"200073_s_at" 14586 4229 17534 20168 6508 21612 13784 14649 20125 3909 19490 19052 18052 12747 16805 17724 18599 14711 6552 16517 17549 18881
"200074_s_at" 3318 7314 16432 1150 6105 8905 14222 4675 15564 18437 15989 5212 16727 13006 15648 12930 17124 12683 11746 10373 17757 16817
"200075_s_at" 689 2305 6717 17817 2497 19082 18821 16197 18443 3598 19427 4688 21123 10052 14556 17674 19258 16249 9767 20058 18844 19259
"200076_s_at" 16816 20142 14748 16683 20247 20617 19049 21094 18978 19127 17295 4667 20084 10393 18090 18910 10106 19226 7468 14638 18008 15848
"200077_s_at" 4030 6410 7423 3258 5945 18722 2741 3503 14089 3305 15918 13585 3262 12633 6398 3212 7785 13786 11119 2923 3960 5125
"200078_s_at" 5619 16874 14472 14534 17961 19453 20104 21533 20873 19990 18494 16682 19561 11902 18934 17701 18453 15094 10236 16760 21592 20315
"200079_s_at" 7169 18371 6873 15023 16479 8400 15371 18129 14889 17889 18790 17471 20125 12008 15006 17942 17055 5594 5532 18690 18952 15727
"200080_s_at" 609 17864 20524 4102 17365 9495 12289 4242 14829 4205 16993 16975 14712 11680 7241 2943 9247 16697 18008 12134 4217 5660
"200081_s_at" 4791 5754 5741 15214 7456 8871 13229 3932 14720 5647 4586 5185 3898 12151 14104 4942 19314 12190 18127 2811 13818 14241
"200082_s_at" 5300 8101 7713 4562 16984 6817 13339 15485 14909 17685 16983 5297 14815 16138 13760 13518 18473 5488 10234 5031 4534 14606
"200083_at" 7423 6790 17804 3206 5211 5056 12656 19146 17567 1227 19873 14926 1236 5511 13821 4886 3524 16575 7470 13885 15900 3338
"200084_at" 6426 1883 8253 17564 4882 9480 14976 15261 16304 2576 6209 13758 14040 7327 5910 15052 5362 15361 9693 16227 4322 15653
"200085_s_at" 5555 18377 6733 4832 6924 21457 2788 15992 15685 4891 16801 3317 16030 11225 17120 14886 19554 12127 9471 14930 16622 16422
"200086_s_at" 2550 4733 17791 1268 5890 7777 12817 15148 4179 3223 4834 1968 16176 6596 8114 14979 18506 4892 9291 17408 16949 5662
"200087_s_at" 5282 6907 8776 14175 4441 20316 15569 14946 16082 5811 3899 18545 20139 6592 16222 3184 9304 15617 2938 20402 18309 17880
"200088_x_at" 5645 15956 7358 13186 9193 7927 5826 8637 8016 17763 6536 3749 4128 16045 9774 4437 11874 8987 18452 4902 3899 4182
"200089_s_at" 5894 7252 6840 13482 6562 19130 2628 15003 15153 6071 6619 4580 15603 16167 15837 13163 16972 6096 8193 5070 15554 14691
"200090_at" 18235 7439 7190 17895 6796 9336 16388 20992 19380 18376 17007 14895 20995 10523 14720 21379 16441 13794 10901 19560 21763 18343
"200091_s_at" 2843 1420 16486 3762 2621 20528 2772 2310 16884 3459 18332 16068 16501 12772 16014 12527 16885 12204 8626 4943 18963 18741
"200092_s_at" 6655 17842 4288 3884 19828 9423 2149 4375 8311 2709 6732 13490 3823 20665 7820 4127 17273 12135 10814 5047 14981 14310
"200093_s_at" 4339 4372 9003 13281 8676 19923 13114 4961 15631 797 5831 4242 3853 4822 3797 17795 16039 13988 9189 18033 16330 14784
"200094_s_at" 6010 16945 18173 3364 16464 5854 18223 14873 17675 17416 16980 13254 15785 10765 8253 17006 9897 16174 8254 12080 18020 17979
"200095_x_at" 14855 18587 5550 15374 9481 9390 6003 3876 8385 6258 6477 4622 13933 16192 9932 4430 12109 9462 15346 5095 13589 5727
"200096_s_at" 16627 9253 4595 14615 5782 8223 15110 4952 1430 739 6327 3461 15921 3281 16827 5030 6340 18181 2533 19283 18011 16999
