"inst_1599" "inst_1957" "inst_2041" "inst_3214" "inst_5000" "inst_5419" "inst_6318" "inst_6654"
"200875_s_at" 20107 15947 6574 17667 19702 19026 20694 15563
"200876_s_at" 7236 1588 6878 6330 12745 4574 6046 12938
"200877_at" 3633 3740 6647 19096 14600 17494 19291 12652
"200878_at" 6655 16647 17014 1274 2936 1777 7606 5062
"200879_s_at" 11808 12631 11190 1527 3724 14067 12038 1501
"200880_at" 21727 20348 8004 21838 21820 21546 19478 15834
"200881_s_at" 21638 2544 20781 21432 20916 21026 19723 19652
"200882_s_at" 18532 3973 4055 13157 13996 6106 6932 14919
"200883_at" 6748 3096 1446 16800 19266 1198 2048 19716
"200884_at" 401 5093 5200 4508 12847 3389 6758 16067
"200885_at" 2116 460 1898 3807 1713 908 6530 4296
"200886_s_at" 3414 20410 6668 16004 10602 7076 16701 12443
"200887_s_at" 6329 19867 1428 5955 19496 3383 6308 16183
"200888_s_at" 19341 19367 5273 6276 11030 15678 8105 15643
"200889_s_at" 20826 20981 2894 19948 16673 4971 4716 18147
"200890_s_at" 1506 16727 4240 18454 17187 5658 3079 19563
"200891_s_at" 3268 20349 1158 13285 16379 17734 6226 20195
"200892_s_at" 20606 18642 8145 20628 18996 18184 8382 16563
"200893_at" 21664 17766 20394 19466 16853 18353 16333 12145
"200894_s_at" 2111 1942 2777 16667 17603 16189 18252 19279
"200895_s_at" 2731 2064 755 19059 17962 16448 6947 18744
"200896_x_at" 20582 20670 20881 6161 10780 14702 17146 13650
"200897_s_at" 11656 17222 9509 5672 2173 1891 15904 15853
