"inst_593" "inst_611" "inst_864" "inst_972" "inst_1008" "inst_1066" "inst_1169" "inst_1228" "inst_1653" "inst_2688" "inst_4452" "inst_5225" "inst_5588" "inst_6187" "inst_6946"
"200632_s_at" 1914 1593 2488 1162 2521 590 13777 21268 15778 18295 20255 417 1692 12255 1680
"200633_at" 7177 2068 12389 4646 3419 1619 1016 6853 1896 11378 11396 5140 5335 11319 1126
"200634_at" 21034 15284 8643 17139 15103 16205 18019 16948 18443 16989 19010 15494 5668 18063 14149
"200635_s_at" 17003 18556 7667 16674 21709 16388 6873 18119 17364 13924 3209 16015 17240 17158 18679
"200636_s_at" 6058 4863 7709 16771 19513 20995 6807 17211 18760 13263 18232 7040 19393 12644 19486
"200637_s_at" 5191 14706 5399 16918 17283 18520 7718 19997 21334 10069 4960 5590 18711 13662 21765
"200638_s_at" 6793 5391 19430 15606 3392 15816 3760 4141 15279 5088 8382 16092 12794 4374 14299
"200639_s_at" 4690 4755 19203 3145 14932 16490 15656 6194 14009 8223 17197 17595 15584 4576 19502
"200640_at" 6162 5370 18838 15586 16343 16556 14184 16350 16163 5989 15297 15762 14388 6121 14037
"200641_s_at" 9300 15748 8513 16805 1995 18116 1427 16267 15349 5422 9215 15452 5725 4306 2098
"200642_at" 6464 3299 5798 4103 3076 1833 2800 5163 2635 4487 6857 3502 4294 3674 2636
"200643_at" 4780 214 1984 1078 1150 2442 2286 2907 16896 2506 2388 1433 4106 1592 2937
"200644_at" 8607 20578 20417 5189 18979 20920 2426 5097 18663 6512 19402 20303 19108 21899 21043
"200645_at" 20390 18407 18553 18937 16852 18847 16662 6908 16431 9256 16770 15722 15178 9307 15776
"200646_s_at" 541 1398 181 443 380 185 76 4926 1629 4788 1511 299 513 822 569
"200647_x_at" 6506 14514 5847 3800 3798 2173 15937 6542 1601 17607 5289 5180 14572 9610 17040
"200648_s_at" 20154 20487 19618 21369 14275 20302 17908 2704 19613 6601 19706 20635 17707 4733 17270
"200649_at" 1251 831 193 715 1503 258 566 2932 3206 1588 220 450 527 165 486
"200650_s_at" 16813 15160 20115 17048 15623 18585 16513 17280 17923 11277 11277 16855 12820 14111 15181
"200651_at" 8594 4150 19193 16024 13044 15994 4326 6350 13946 11469 9184 6483 14687 14318 12021
"200652_at" 1640 1426 1397 1555 1714 1810 14349 4475 13264 5179 4529 760 1626 3914 1188
"200653_s_at" 17063 5648 19629 17616 16936 4316 20443 4566 17098 5131 8427 7521 13695 11774 17413
"200654_at" 4101 3091 2278 755 1529 843 17182 2814 2087 7278 2394 1659 829 6627 2116
"200655_s_at" 17447 17369 18881 3880 15929 3832 4229 16226 3996 9096 7388 15687 15793 9528 15965
"200656_s_at" 1537 1913 1109 1512 1777 1425 17522 980 3859 5156 1667 1821 1794 3580 1685
"200657_at" 17847 5176 19298 4858 14047 3951 15008 7416 13789 8658 9806 15295 14808 10779 13482
"200658_s_at" 16779 14480 5724 18697 13489 2613 18581 3671 13351 17835 7339 7209 6324 9129 16567
"200659_s_at" 7561 14115 2037 4522 4008 1453 19669 4907 2265 16984 16821 16851 15657 21425 16441
"200660_at" 19549 14932 8763 17514 13692 15909 14821 7389 14466 20458 9070 17027 14267 18964 14954
"200661_at" 4890 16118 5865 3026 15852 16917 19757 17745 18633 17435 17737 6820 6387 11703 16754
"200662_s_at" 3480 16269 5580 2626 3983 4164 20503 2778 2843 8197 5761 3825 3458 8993 2563
"200663_at" 18515 13929 20157 5892 17715 4035 15464 6134 13731 15885 15932 17694 14804 9579 16288
"200664_s_at" 14 13 6 8 5 7 16 6 5 6 42 13 11 15 5
"200665_s_at" 9474 10100 18086 13726 7062 9224 11178 9348 8031 4248 866 13544 11989 12672 5263
"200666_s_at" 22 12 29 16 26 13 12 57 14 4 47 20 26 18 15
"200667_at" 4281 3015 3638 2908 2435 1543 13746 2491 1929 8046 4167 3427 1858 5820 1998
"200668_s_at" 6621 1927 6494 5783 13107 17736 3623 5332 3864 4695 3866 4736 3663 5340 12723
"200669_s_at" 5379 2767 4926 3837 2385 2976 2197 813 13811 5732 8268 4489 2923 5365 14456
"200670_at" 21231 21627 21338 19601 19302 20870 20786 900 21570 18721 886 21168 20533 6435 21299
"200671_s_at" 22208 2852 18628 5331 2340 16773 13267 20835 11973 15625 19683 22017 2439 17855 8299
"200672_x_at" 21129 16587 8578 18977 13511 19193 18658 17243 17966 22252 16650 17225 15365 6754 166
"200673_at" 4939 15102 5852 5200 3988 18192 14437 4291 15644 2395 5868 5296 13609 1233 16884
"200674_s_at" 19507 5025 18550 15795 7399 16466 4314 16832 2786 11440 15237 16632 13799 14290 1968
"200675_at" 19244 18758 19608 16146 17800 20295 20664 17584 19276 17180 15183 7173 16143 12100 19895
"200676_s_at" 7362 3116 1881 2354 19741 17897 4089 4590 2071 5506 17047 7322 17764 7959 21369
"200677_at" 17315 20054 8642 16363 13937 15950 2086 5418 3715 5421 16602 15441 13476 5582 18305
"200678_x_at" 8747 5415 6716 2389 17290 2680 15129 16717 13976 19162 17227 4026 4942 8017 12761
"200679_x_at" 19954 13734 19058 18768 13824 16107 18055 18588 18539 16236 15944 15239 13108 10283 12884
"200680_x_at" 9322 3359 20251 5169 14271 17409 17282 5742 13528 16038 15532 18292 8668 14337 13099
"200681_at" 18185 3793 7272 3123 13920 16874 16877 16934 14749 17772 9572 17146 16136 12298 17573
