"inst_315" "inst_984" "inst_1042" "inst_1145" "inst_1204" "inst_1629" "inst_2664" "inst_4428" "inst_5201" "inst_5564" "inst_6164" "inst_6924" "inst_6964"
"200732_s_at" 15314 5091 20850 18733 12186 17380 18373 20152 17280 17071 12496 18835 2449
"200733_s_at" 21982 20632 19100 5713 18944 4292 1469 19544 1659 20932 20989 18966 18586
"200734_s_at" 12695 2349 18514 1832 13877 4165 5931 5484 6977 9412 19213 1993 3693
"200735_x_at" 4683 8620 15642 16641 3907 4927 10694 10091 7554 4875 4282 4161 3918
"200736_s_at" 9737 7293 8802 3394 14310 5935 6942 5910 12563 7243 12395 12465 6700
"200737_at" 15519 20079 18216 3463 16346 17266 15464 14363 2259 16199 18659 21745 20195
"200738_s_at" 13152 16069 14260 3211 12063 5120 5956 6992 6442 11006 10628 5095 14523
"200739_s_at" 11803 21376 3164 4403 1462 3610 7520 5568 16505 11359 20377 18959 19257
"200740_s_at" 13307 15153 14636 4773 15661 3937 8092 5517 2954 9941 13359 4425 3493
"200741_s_at" 4931 8689 14497 6848 2363 16268 10561 9965 15617 4693 4134 15043 15340
"200742_s_at" 4894 4217 3129 19585 15871 943 5711 5355 4767 14320 14957 4267 3694
"200743_s_at" 14561 4350 16165 19083 3095 17223 8084 3175 18521 16334 11575 18061 15739
"200744_s_at" 15319 18572 20002 2454 18654 3464 4968 6631 17266 18328 20201 18242 15980
"200745_s_at" 5733 3911 19916 3136 13406 1139 6534 16186 6822 16923 20519 20436 18931
"200746_s_at" 12953 15121 18896 4999 3034 4826 6314 7799 2705 17277 14650 15380 4200
"200747_s_at" 12172 17732 18691 21352 15929 18135 7052 5163 15373 19381 8924 13994 704
"200748_s_at" 14837 15009 17280 16482 2984 18052 4873 13962 18752 11829 16502 19765 18870
"200749_at" 17696 17654 16368 17281 18494 14968 6598 16818 7293 19992 19410 16550 13896
"200750_s_at" 5956 15898 17415 4111 3089 15848 5427 10027 16357 10697 13210 16732 16443
"200751_s_at" 12796 17070 17889 1624 19097 16739 3440 19101 5458 9652 20528 21031 18289
"200752_s_at" 13787 4504 18263 21185 3624 21245 20840 17463 19508 14355 10255 2129 19118
"200753_x_at" 14890 5113 14404 17848 12383 4578 16465 15821 5400 13195 17050 20774 21250
"200754_x_at" 4392 5243 18168 17541 12455 4796 15373 14590 4477 9400 12428 3817 3905
"200755_s_at" 17694 3590 15793 4836 12273 17594 6640 19508 18473 16831 19996 2769 3793
"200756_x_at" 5419 21094 20785 3013 12098 766 2794 21529 21037 10439 16384 16249 20811
"200757_s_at" 15103 16902 14416 19633 12918 2126 6434 18524 17996 15607 10204 19498 14799
"200758_s_at" 11064 3949 21505 5431 1587 2446 8795 8517 20867 19838 15070 19076 19860
