"inst_313" "inst_608"
"201320_at" 12070 17376
"201321_s_at" 14401 390
"201322_at" 16192 14079
"201323_at" 16707 13143
"201324_at" 10045 6843
"201325_s_at" 6974 9854
"201326_at" 6241 16051
"201327_s_at" 11458 14029
"201328_at" 11760 16260
"201329_s_at" 19304 3511
"201330_at" 14730 16475
"201331_s_at" 16139 900
"201332_s_at" 8227 6892
"201333_s_at" 15681 3270
"201334_s_at" 2084 22043
"201335_s_at" 8429 7368
"201336_at" 12718 17682
"201337_s_at" 1134 20651
"201338_x_at" 3521 12905
"201339_s_at" 14876 16068
"201340_s_at" 14671 5646
"201341_at" 1590 690
"201342_at" 15366 3058
"201343_at" 5934 6347
"201344_at" 3647 20463
"201345_s_at" 20178 19041
"201346_at" 18774 15256
"201347_x_at" 5532 6156
"201348_at" 15381 20914
"201349_at" 12330 5017
"201350_at" 13369 2845
"201351_s_at" 1925 16286
"201352_at" 11085 14667
"201353_s_at" 859 1510
"201354_s_at" 11209 53
"201355_s_at" 10865 21234
"201356_at" 12411 6113
"201357_s_at" 12813 13934
"201358_s_at" 5152 3135
"201359_at" 14119 19253
"201360_at" 4730 17990
"201361_at" 18171 14821
"201362_at" 2400 18195
"201363_s_at" 13106 13947
"201364_s_at" 14327 12592
"201365_at" 19331 18464
"201366_at" 14197 14529
"201367_s_at" 16647 813
"201368_at" 20528 16453
"201369_s_at" 14094 14460
"201370_s_at" 12888 1941
"201371_s_at" 13297 5376
"201372_s_at" 6749 6541
"201373_at" 15295 1253
"201374_x_at" 8036 9105
"201375_s_at" 3757 12308
"201376_s_at" 4823 13852
"201377_at" 686 17924
"201378_s_at" 15889 14481
"201379_s_at" 4835 12786
"201380_at" 11589 21782
"201381_x_at" 13911 12260
"201382_at" 21595 1166
"201383_s_at" 18542 6384
"201384_s_at" 16439 13088
"201385_at" 3748 18542
"201386_s_at" 4756 18983
"201387_s_at" 13189 20215
"201388_at" 18150 14422
"201389_at" 20500 16419
"201390_s_at" 4156 2737
"201391_at" 1629 12453
"201392_s_at" 16177 3503
"201393_s_at" 21148 1610
"201394_s_at" 5401 12053
"201395_at" 832 1647
"201396_s_at" 3703 21714
"201397_at" 14262 15394
"201398_s_at" 14241 14891
"201399_s_at" 5383 12353
"201400_at" 14268 15042
"201401_s_at" 21921 19891
"201402_at" 7255 9201
"201403_s_at" 11109 15265
"201404_x_at" 6078 12931
"201405_s_at" 14896 13141
"201406_at" 5667 5337
"201407_s_at" 19007 13070
"201408_at" 836 2216
"201409_s_at" 5576 4835
"201410_at" 14499 20299
"201411_s_at" 3303 126
"201412_at" 5770 6248
"201413_at" 14030 16279
"201414_s_at" 13286 17738
"201415_at" 5166 13307
"201416_at" 18103 5084
"201417_at" 5866 3867
"201418_s_at" 16301 2038
"201419_at" 16379 1729
"201420_s_at" 12910 13674
"201421_s_at" 18537 1762
"201422_at" 16676 1819
"201423_s_at" 19182 16881
"201424_s_at" 19402 15499
"201425_at" 1389 22225
"201426_s_at" 22158 13142
"201427_s_at" 9645 10457
"201428_at" 12131 4073
"201429_s_at" 14068 12946
"201430_s_at" 19896 7148
"201431_s_at" 6115 3348
"201432_at" 13358 17366
"201433_s_at" 12649 3147
"201434_at" 15273 16908
"201435_s_at" 13513 16065
"201436_at" 21686 3004
"201437_s_at" 21660 12765
"201438_at" 8346 6211
"201439_at" 10828 3710
"201440_at" 4605 1487
"201441_at" 16044 13681
"201442_s_at" 18172 3363
"201443_s_at" 18011 6379
"201444_s_at" 13611 4252
"201445_at" 740 10603
"201446_s_at" 17132 18472
"201447_at" 20227 21423
"201448_at" 4664 18638
"201449_at" 861 1223
"201450_s_at" 17600 15562
"201451_x_at" 8317 6865
"201452_at" 10621 11317
"201453_x_at" 5087 16792
